timePeriod/start/__text,readingQuality/__text,value/__text
1663110000,ACTUAL,0.79
1663111800,ACTUAL,2.07
1663113600,ACTUAL,0.91
1663115400,ACTUAL,0.52
1663117200,ACTUAL,0.61
1663119000,ACTUAL,0.47
1663120800,ACTUAL,0.42
1663122600,ACTUAL,0.9
1663124400,ACTUAL,0.43
1663126200,ACTUAL,0.37
1663128000,ACTUAL,0.12
1663129800,ACTUAL,0.05
1663131600,ACTUAL,0.06
1663133400,ACTUAL,0.1
1663135200,ACTUAL,0.1
1663137000,ACTUAL,0.07
1663138800,ACTUAL,0.06
1663140600,ACTUAL,0.09
1663142400,ACTUAL,0.1
1663144200,ACTUAL,0.08
1663146000,ACTUAL,0.05
1663147800,ACTUAL,0.12
1663149600,ACTUAL,0.11
1663151400,ACTUAL,0.64
1663153200,ACTUAL,0.27
1663155000,ACTUAL,0.82
1663156800,ACTUAL,0.15
1663158600,ACTUAL,0.27
1663160400,ACTUAL,0.08
1663162200,ACTUAL,0.1
1663164000,ACTUAL,0.09
1663165800,ACTUAL,0.08
1663167600,ACTUAL,0.04
1663169400,ACTUAL,0.06
1663171200,ACTUAL,0.09
1663173000,ACTUAL,0.06
1663174800,ACTUAL,0.04
1663176600,ACTUAL,0.07
1663178400,ACTUAL,0.08
1663180200,ACTUAL,0.04
1663182000,ACTUAL,0.04
1663183800,ACTUAL,0.09
1663185600,ACTUAL,0.07
1663187400,ACTUAL,0.08
1663189200,ACTUAL,0.36
1663191000,ACTUAL,1.45
1663192800,ACTUAL,0.59
1663194600,ACTUAL,0.97
1663196400,ACTUAL,1.74
1663198200,ACTUAL,1.78
1663200000,ACTUAL,2.2
1663201800,ACTUAL,0.78
1663203600,ACTUAL,0.58
1663205400,ACTUAL,0.26
1663207200,ACTUAL,0.09
1663209000,ACTUAL,0.11
1663210800,ACTUAL,0.07
1663212600,ACTUAL,0.29
1663214400,ACTUAL,0.46
1663216200,ACTUAL,0.08
1663218000,ACTUAL,0.05
1663219800,ACTUAL,0.1
1663221600,ACTUAL,0.08
1663223400,ACTUAL,0.05
1663225200,ACTUAL,0.09
1663227000,ACTUAL,0.09
1663228800,ACTUAL,0.05
1663230600,ACTUAL,0.09
1663232400,ACTUAL,0.09
1663234200,ACTUAL,0.05
1663236000,ACTUAL,0.08
1663237800,ACTUAL,0.13
1663239600,ACTUAL,0.11
1663241400,ACTUAL,0.81
1663243200,ACTUAL,0.25
1663245000,ACTUAL,0.12
1663246800,ACTUAL,0.27
1663248600,ACTUAL,0.19
1663250400,ACTUAL,0.16
1663252200,ACTUAL,0.16
1663254000,ACTUAL,0.26
1663255800,ACTUAL,0.2
1663257600,ACTUAL,0.09
1663259400,ACTUAL,0.18
1663261200,ACTUAL,0.12
1663263000,ACTUAL,0.12
1663264800,ACTUAL,0.7
1663266600,ACTUAL,0.17
1663268400,ACTUAL,0.68
1663270200,ACTUAL,1.5
1663272000,ACTUAL,0.97
1663273800,ACTUAL,0.6
1663275600,ACTUAL,0.29
1663277400,ACTUAL,0.28
1663279200,ACTUAL,0.73
1663281000,ACTUAL,1.7
1663282800,ACTUAL,1.71
1663284600,ACTUAL,1.4
1663286400,ACTUAL,0.7
1663288200,ACTUAL,0.65
1663290000,ACTUAL,0.46
1663291800,ACTUAL,0.53
1663293600,ACTUAL,0.86
1663295400,ACTUAL,0.21
1663297200,ACTUAL,0.39
1663299000,ACTUAL,0.62
1663300800,ACTUAL,0.77
1663302600,ACTUAL,0.09
1663304400,ACTUAL,0.08
1663306200,ACTUAL,0.1
1663308000,ACTUAL,0.06
1663309800,ACTUAL,0.06
1663311600,ACTUAL,0.1
1663313400,ACTUAL,0.08
1663315200,ACTUAL,0.05
1663317000,ACTUAL,0.09
1663318800,ACTUAL,0.09
1663320600,ACTUAL,0.06
1663322400,ACTUAL,0.58
1663324200,ACTUAL,0.65
1663326000,ACTUAL,1.35
1663327800,ACTUAL,0.66
1663329600,ACTUAL,0.1
1663331400,ACTUAL,0.1
1663333200,ACTUAL,0.16
1663335000,ACTUAL,0.12
1663336800,ACTUAL,0.08
1663338600,ACTUAL,0.13
1663340400,ACTUAL,0.14
1663342200,ACTUAL,0.1
1663344000,ACTUAL,0.06
1663345800,ACTUAL,0.18
1663347600,ACTUAL,0.1
1663349400,ACTUAL,0.07
1663351200,ACTUAL,0.13
1663353000,ACTUAL,0.11
1663354800,ACTUAL,0.09
1663356600,ACTUAL,0.14
1663358400,ACTUAL,0.08
1663360200,ACTUAL,0.08
1663362000,ACTUAL,0.14
1663363800,ACTUAL,0.12
1663365600,ACTUAL,0.14
1663367400,ACTUAL,0.14
1663369200,ACTUAL,0.12
1663371000,ACTUAL,0.09
1663372800,ACTUAL,0.04
1663374600,ACTUAL,0.28
1663376400,ACTUAL,0.57
1663378200,ACTUAL,0.52
1663380000,ACTUAL,2.18
1663381800,ACTUAL,0.59
1663383600,ACTUAL,0.18
1663385400,ACTUAL,0.13
1663387200,ACTUAL,0.11
1663389000,ACTUAL,0.08
1663390800,ACTUAL,0.07
1663392600,ACTUAL,0.11
1663394400,ACTUAL,0.1
1663396200,ACTUAL,0.07
1663398000,ACTUAL,0.08
1663399800,ACTUAL,0.1
1663401600,ACTUAL,0.1
1663403400,ACTUAL,0.06
1663405200,ACTUAL,0.1
1663407000,ACTUAL,0.11
1663408800,ACTUAL,0.49
1663410600,ACTUAL,0.52
1663412400,ACTUAL,0.38
1663414200,ACTUAL,0.23
1663416000,ACTUAL,0.06
1663417800,ACTUAL,0.11
1663419600,ACTUAL,0.16
1663421400,ACTUAL,0.08
1663423200,ACTUAL,1.56
1663425000,ACTUAL,0.25
1663426800,ACTUAL,0.07
1663428600,ACTUAL,0.08
1663430400,ACTUAL,1.11
1663432200,ACTUAL,0.86
1663434000,ACTUAL,1.54
1663435800,ACTUAL,0.3
1663437600,ACTUAL,0.28
1663439400,ACTUAL,0.39
1663441200,ACTUAL,0.12
1663443000,ACTUAL,0.26
1663444800,ACTUAL,0.2
1663446600,ACTUAL,0.06
1663448400,ACTUAL,0.67
1663450200,ACTUAL,0.09
1663452000,ACTUAL,0.03
1663453800,ACTUAL,0.06
1663455600,ACTUAL,0.1
1663457400,ACTUAL,2.0
1663459200,ACTUAL,1.31
1663461000,ACTUAL,1.1
1663462800,ACTUAL,0.31
1663464600,ACTUAL,0.32
1663466400,ACTUAL,0.18
1663468200,ACTUAL,0.83
1663470000,ACTUAL,0.63
1663471800,ACTUAL,0.39
1663473600,ACTUAL,0.19
1663475400,ACTUAL,0.11
1663477200,ACTUAL,0.08
1663479000,ACTUAL,0.09
1663480800,ACTUAL,0.11
1663482600,ACTUAL,0.07
1663484400,ACTUAL,0.1
1663486200,ACTUAL,0.1
1663488000,ACTUAL,0.08
1663489800,ACTUAL,0.09
1663491600,ACTUAL,0.07
1663493400,ACTUAL,0.08
1663495200,ACTUAL,0.51
1663497000,ACTUAL,0.51
1663498800,ACTUAL,0.34
1663500600,ACTUAL,0.19
1663502400,ACTUAL,0.16
1663504200,ACTUAL,0.97
1663506000,ACTUAL,0.13
1663507800,ACTUAL,0.61
1663509600,ACTUAL,0.09
1663511400,ACTUAL,0.06
1663513200,ACTUAL,0.07
1663515000,ACTUAL,0.09
1663516800,ACTUAL,0.04
1663518600,ACTUAL,0.86
1663520400,ACTUAL,0.25
1663522200,ACTUAL,0.07
1663524000,ACTUAL,0.05
1663525800,ACTUAL,0.1
1663527600,ACTUAL,0.06
1663529400,ACTUAL,0.06
1663531200,ACTUAL,0.1
1663533000,ACTUAL,0.06
1663534800,ACTUAL,0.05
1663536600,ACTUAL,0.16
1663538400,ACTUAL,0.71
1663540200,ACTUAL,0.23
1663542000,ACTUAL,1.6
1663543800,ACTUAL,2.68
1663545600,ACTUAL,1.36
1663547400,ACTUAL,2.7
1663549200,ACTUAL,2.3
1663551000,ACTUAL,0.4
1663552800,ACTUAL,0.0
1663554600,ACTUAL,0.0
1663556400,ACTUAL,0.0
1663558200,ACTUAL,0.1
1663560000,ACTUAL,0.66
1663561800,ACTUAL,0.16
1663563600,ACTUAL,0.15
1663565400,ACTUAL,0.13
1663567200,ACTUAL,0.11
1663569000,ACTUAL,0.09
1663570800,ACTUAL,0.06
1663572600,ACTUAL,0.12
1663574400,ACTUAL,0.1
1663576200,ACTUAL,0.06
1663578000,ACTUAL,0.1
1663579800,ACTUAL,0.08
1663581600,ACTUAL,0.18
1663583400,ACTUAL,0.61
1663585200,ACTUAL,0.41
1663587000,ACTUAL,0.08
1663588800,ACTUAL,0.78
1663590600,ACTUAL,0.8
1663592400,ACTUAL,0.58
1663594200,ACTUAL,0.07
1663596000,ACTUAL,0.06
1663597800,ACTUAL,0.1
1663599600,ACTUAL,0.05
1663601400,ACTUAL,0.08
1663603200,ACTUAL,0.07
1663605000,ACTUAL,0.05
1663606800,ACTUAL,0.1
1663608600,ACTUAL,0.04
1663610400,ACTUAL,0.06
1663612200,ACTUAL,0.07
1663614000,ACTUAL,0.03
1663615800,ACTUAL,0.08
1663617600,ACTUAL,0.04
1663619400,ACTUAL,0.05
1663621200,ACTUAL,0.08
1663623000,ACTUAL,0.44
1663624800,ACTUAL,0.65
1663626600,ACTUAL,1.53
1663628400,ACTUAL,0.97
1663630200,ACTUAL,0.72
1663632000,ACTUAL,0.15
1663633800,ACTUAL,0.2
1663635600,ACTUAL,0.29
1663637400,ACTUAL,0.65
1663639200,ACTUAL,1.0
1663641000,ACTUAL,0.49
1663642800,ACTUAL,0.41
1663644600,ACTUAL,0.1
1663646400,ACTUAL,0.1
1663648200,ACTUAL,0.09
1663650000,ACTUAL,0.11
1663651800,ACTUAL,0.1
1663653600,ACTUAL,0.07
1663655400,ACTUAL,0.07
1663657200,ACTUAL,0.1
1663659000,ACTUAL,0.1
1663660800,ACTUAL,0.05
1663662600,ACTUAL,0.07
1663664400,ACTUAL,0.1
1663666200,ACTUAL,0.07
1663668000,ACTUAL,0.06
1663669800,ACTUAL,0.16
1663671600,ACTUAL,0.11
1663673400,ACTUAL,0.66
1663675200,ACTUAL,0.48
1663677000,ACTUAL,0.53
1663678800,ACTUAL,1.61
1663680600,ACTUAL,0.28
1663682400,ACTUAL,0.06
1663684200,ACTUAL,0.06
1663686000,ACTUAL,0.11
1663687800,ACTUAL,0.1
1663689600,ACTUAL,0.06
1663691400,ACTUAL,0.1
1663693200,ACTUAL,0.14
1663695000,ACTUAL,0.12
1663696800,ACTUAL,0.11
1663698600,ACTUAL,0.06
1663700400,ACTUAL,0.07
1663702200,ACTUAL,0.12
1663704000,ACTUAL,0.1
1663705800,ACTUAL,0.1
1663707600,ACTUAL,0.47
1663709400,ACTUAL,1.87
1663711200,ACTUAL,0.67
1663713000,ACTUAL,0.62
1663714800,ACTUAL,1.31
1663716600,ACTUAL,0.3
1663718400,ACTUAL,0.13
1663720200,ACTUAL,0.55
1663722000,ACTUAL,0.2
1663723800,ACTUAL,0.11
1663725600,ACTUAL,0.09
1663727400,ACTUAL,0.09
1663729200,ACTUAL,0.06
1663731000,ACTUAL,0.1
1663732800,ACTUAL,0.1
1663734600,ACTUAL,0.05
1663736400,ACTUAL,0.09
1663738200,ACTUAL,0.09
1663740000,ACTUAL,0.05
1663741800,ACTUAL,0.09
1663743600,ACTUAL,0.58
1663745400,ACTUAL,0.05
1663747200,ACTUAL,0.1
1663749000,ACTUAL,0.08
1663750800,ACTUAL,0.05
1663752600,ACTUAL,0.1
1663754400,ACTUAL,0.07
1663756200,ACTUAL,0.06
1663758000,ACTUAL,0.16
1663759800,ACTUAL,0.12
1663761600,ACTUAL,0.12
1663763400,ACTUAL,0.1
1663765200,ACTUAL,0.07
1663767000,ACTUAL,0.04
1663768800,ACTUAL,0.07
1663770600,ACTUAL,0.07
1663772400,ACTUAL,0.04
1663774200,ACTUAL,0.07
1663776000,ACTUAL,0.06
1663777800,ACTUAL,0.02
1663779600,ACTUAL,0.05
1663781400,ACTUAL,0.06
1663783200,ACTUAL,0.02
1663785000,ACTUAL,0.05
1663786800,ACTUAL,0.06
1663788600,ACTUAL,0.02
1663790400,ACTUAL,0.05
1663792200,ACTUAL,0.06
1663794000,ACTUAL,0.15
1663795800,ACTUAL,0.97
1663797600,ACTUAL,0.66
1663799400,ACTUAL,0.81
1663801200,ACTUAL,1.42
1663803000,ACTUAL,1.05
1663804800,ACTUAL,0.29
1663806600,ACTUAL,0.76
1663808400,ACTUAL,0.7
1663810200,ACTUAL,1.06
1663812000,ACTUAL,0.24
1663813800,ACTUAL,0.28
1663815600,ACTUAL,0.16
1663817400,ACTUAL,0.17
1663819200,ACTUAL,0.23
1663821000,ACTUAL,0.07
1663822800,ACTUAL,0.05
1663824600,ACTUAL,0.1
1663826400,ACTUAL,0.07
1663828200,ACTUAL,0.06
1663830000,ACTUAL,0.1
1663831800,ACTUAL,0.07
1663833600,ACTUAL,0.05
1663835400,ACTUAL,0.1
