datetime,energy_used
2023-09-26,9.24
2023-09-27,12.370000000000001
2023-09-28,7.97
2023-09-29,15.17
2023-09-30,12.16
2023-10-01,12.94
2023-10-02,11.56
2023-10-03,12.9
2023-10-04,7.03
2023-10-05,16.4
2023-10-06,3.32
2023-10-07,3.6
2023-10-08,3.49
2023-10-09,3.04
2023-10-10,3.48
2023-10-11,3.45
2023-10-12,3.5100000000000002
2023-10-13,3.57
2023-10-14,2.71
2023-10-15,9.87
2023-10-16,7.17
2023-10-17,15.02
2023-10-18,9.79
2023-10-19,7.8500000000000005
2023-10-20,12.17
2023-10-21,10.14
2023-10-22,20.31
2023-10-23,10.77
2023-10-24,7.33
2023-10-25,7.35
2023-10-26,11.83
2023-10-27,17.2
2023-10-28,16.7
2023-10-29,13.63
2023-10-30,18.71
2023-10-31,16.07
2023-11-01,12.07
2023-11-02,14.49
2023-11-03,29.06
2023-11-04,11.790000000000001
2023-11-05,20.29
2023-11-06,13.16
2023-11-07,11.63
2023-11-08,9.56
2023-11-09,10.27
2023-11-10,23.47
2023-11-11,8.72
2023-11-12,16.43
2023-11-13,10.5
2023-11-14,15.66
2023-11-15,11.67
2023-11-16,8.709999999999999
2023-11-17,12.1
2023-11-18,9.450000000000001
